Year,Lifeexpectancy(men),Lifeexpectancy(women),Infantdeaths,Alcohol,Measles,BMI,Under-fivedeaths,Polio,Totalexpenditure,Diphtheria ,HIV/AIDS,GDP,Population
2010,69,57,93,76,0.45,71,29,103,53.9,24,95,5.12,95
2009,52,66,67,89,0.5,44,60,107,52.8,23,94,5.36,95
2008,79,64,93,65,0.46,64,38,217,51.8,23,92,4.2,93
2007,54,58,69,59,0.44,25,37,0,5.8,23,95,3.82,95
2006,62,58,84,58,0.36,65,73,944,49.8,23,95,3.36,95
2005,59,73,98,95,0.5,71,33,2302,48.9,22,88,3.24,88
2004,72,72,87,74,0.45,52,44,3289,47.9,23,86,3.54,86
2003,76,74,86,51,0.34,32,25,15374,47,23,87,3.6,87
2002,64,51,76,54,0.36,58,55,5862,46.1,23,86,3.73,86
2001,63,63,92,70,0.23,57,65,2686,45.3,24,89,3.84,89
2000,52,75,97,59,0.25,60,59,0,44.4,25,86,3.49,86
2015,73,71,93,59,,46,61,118,23.3,98,7,,64
2014,60,55,58,86,8.33,21,28,11699,22.7,101,68,3.31,64
2013,59,68,53,73,8.1,43,57,8523,22.1,105,67,4.26,77
2012,70,63,74,90,8.24,32,25,4458,21.5,110,75,3.3,75
2011,77,75,79,81,8.06,64,61,1449,21,115,73,3.38,71
2010,74,72,79,67,7.8,29,21,1190,2.4,121,81,3.39,77
2009,78,81,51,78,7.01,60,42,2807,19.8,127,63,4.37,6
2008,75,71,72,94,7.07,34,38,265,19.3,133,65,3.84,69
2007,77,52,59,75,6.35,22,38,1014,18.8,138,75,3.38,73
2006,80,57,55,57,5.84,39,68,765,18.2,143,36,4.54,34
2005,69,66,68,71,5.04,33,29,258,17.7,148,39,4.1,38
2004,51,73,88,83,3.53,22,74,29,17.2,152,4,4.71,4
2003,59,55,54,87,3.49,42,23,1196,16.8,155,4,4.41,4
2002,85,69,87,56,2.82,52,45,11945,16.3,157,37,3.63,41
2001,76,66,59,97,2.58,27,73,9046,15.8,159,41,5.38,38
2000,67,79,63,68,1.85,47,24,2219,15.4,160,3,2.79,28
2015,71,56,58,85,,73,55,0,47.7,0,86,,99
2014,57,60,78,100,8.56,52,68,0,47,0,96,5.54,99
2013,65,77,90,96,8.58,44,38,0,46.4,0,98,5.33,99
2012,79,72,74,62,8.18,24,24,0,45.7,0,97,5.39,98
2011,64,79,54,52,7.84,65,33,0,45.1,0,99,5.65,99
2010,76,60,63,61,7.84,26,66,0,44.4,0,99,5.63,98
2009,53,71,82,85,7.82,20,28,0,43.8,0,98,4.86,99
2008,72,82,75,80,8.27,53,34,0,43.2,0,99,4.69,99
2007,67,77,63,98,8.64,74,32,0,42.6,0,98,4.27,99
2006,63,71,69,79,8.93,43,27,0,42,0,99,4.34,99
2005,56,81,64,76,8.15,29,55,0,41.4,0,98,4.41,99
2004,69,84,64,93,7.28,29,33,0,4.8,0,97,4.21,97
2003,56,78,59,84,7.16,31,68,0,4.1,0,99,4.53,99
2002,78,70,76,59,7.21,44,18,0,39.5,0,93,4.41,98
2001,58,53,54,93,7.51,72,45,0,38.9,0,99,4.48,97
2000,77,71,56,72,7.27,24,47,0,38.2,0,96,4.13,95
2015,74,51,66,71,,19,45,0,62.8,9,93,,94
2014,75,72,73,63,7.93,31,48,1,62.2,9,92,4.79,94
2013,83,84,99,83,8.28,30,58,0,61.6,10,99,4.99,94
2012,51,76,82,81,8.35,28,42,2,61,10,99,5.2,91
2011,66,65,78,93,8.11,74,47,3,6.4,10,93,5.89,91
2010,85,68,100,56,8.15,51,19,17,59.8,11,95,6.55,94
2009,65,83,50,61,8.33,42,67,3,59.2,11,97,7.63,94
2008,82,56,73,55,8.41,52,46,0,58.6,11,94,6.66,93
2007,76,58,50,86,8.16,61,29,0,58,12,92,6.49,91
2006,74,85,94,70,7.75,18,22,0,57.5,12,92,6.68,91
2005,84,57,97,99,7.53,32,21,0,56.9,12,95,6.85,98
2004,75,64,60,72,7.63,22,41,0,56.3,12,91,6.84,98
2003,65,75,78,98,7.62,24,26,0,55.7,13,95,8.22,96
2002,85,73,63,84,7.81,27,59,0,55.1,13,94,8.31,93
2001,64,65,67,55,7.76,46,52,0,54.6,13,85,9.38,83
2000,52,57,69,96,7.68,20,19,6,54,14,88,9.21,83
2015,63,51,60,93,,71,28,33,54.9,1,96,,94
2014,82,73,100,100,3.91,37,52,13,54.1,1,95,4.48,93
2013,63,50,100,72,3.79,34,44,10,53.3,1,96,4.55,95
2012,75,59,89,57,3.89,35,47,0,52.6,1,96,4.48,95
2011,54,70,74,96,4.09,22,56,0,51.9,1,96,3.71,95
2010,70,67,95,91,4.23,44,30,2,51.2,1,96,4.56,94
2009,80,66,90,61,3.96,55,21,0,5.7,1,94,4.55,93
2008,67,52,64,62,3.96,20,68,0,5.1,1,91,3.8,89
2007,51,74,96,65,3.99,74,22,1,49.7,1,9,4.31,88
2006,58,56,60,81,4.01,67,38,137,49.2,1,87,4.58,87
2005,75,50,84,74,4.25,41,33,2281,48.8,1,92,5.25,9
2004,83,67,59,50,3.81,39,41,1783,48.4,1,93,5.5,91
2003,73,71,64,55,3.03,69,55,4,48.1,1,96,5.56,94
2002,79,83,69,75,2.86,59,74,40,47.8,1,96,5.4,94
2001,50,58,74,92,2.86,43,50,69,47.4,1,97,5.94,94
2000,78,60,82,80,2.9,37,65,15,47.1,1,96,6.25,93
2015,55,84,50,56,,18,62,74,66.6,1,93,,93
2014,73,82,72,85,9.71,35,29,340,66.1,1,92,9.42,92
2013,64,65,53,55,9.87,65,64,158,65.5,1,91,9.36,91
2012,65,72,62,84,10.03,31,21,199,65,1,92,9.36,92
2011,82,68,88,88,10.3,58,37,190,64.4,1,92,9.2,92
2010,83,72,100,89,10.52,24,53,70,63.9,1,92,9.2,92
2009,73,62,73,70,10.62,71,73,104,63.4,1,92,9.5,92
2008,85,72,92,89,10.76,21,48,65,62.9,1,92,8.78,92
2007,59,56,68,50,10.56,34,60,11,62.5,2,92,8.53,92
2006,67,63,73,69,10.31,23,74,0,62,2,92,8.49,92
2005,67,82,74,52,10.3,58,69,10,61.5,2,92,8.45,92
2004,69,53,94,71,9.84,74,29,70,6.9,1,92,8.57,92
2003,61,61,96,72,9.97,67,60,91,6.3,1,92,8.32,93
2002,58,75,59,94,9.84,59,65,32,59.6,2,92,8.39,92
2001,57,77,90,62,9.53,55,30,141,59,2,91,8.18,92
2000,66,74,99,91,10.17,58,72,108,58.2,2,9,8.8,9
2015,51,84,88,54,,68,47,309,57.6,0,93,,93
2014,63,75,91,78,12.32,19,28,117,57.1,0,98,11.21,98
2013,69,85,82,88,11.82,27,41,0,56.6,0,95,11.14,95
2012,58,84,96,84,12.26,47,38,36,56.1,0,92,11.17,92
2011,72,80,87,82,12.04,66,41,68,55.7,0,89,1.94,89
2010,67,80,99,74,12.1,28,53,52,55.2,0,86,11.17,86
2009,71,71,85,92,11.3,58,56,49,54.7,0,83,11.19,83
2008,84,80,70,95,12,64,23,448,54.2,0,83,1.6,83
2007,64,82,59,74,12.5,50,18,20,53.7,0,85,1.4,85
2006,76,57,89,85,12.4,49,38,23,53.2,0,83,1.35,83
2005,78,63,96,94,12.4,72,31,9,52.7,0,86,1.53,86
2004,73,56,87,95,12.1,71,52,15,52.2,0,83,1.56,83
2003,63,77,57,93,12.2,40,31,90,51.7,0,84,1.48,84
2002,63,64,70,65,12.5,57,30,0,51.2,0,82,1.27,83
2001,69,53,73,55,12.4,65,66,0,5.6,0,83,1.12,84
2000,85,65,67,78,13.2,70,44,0,5.1,0,71,1.6,81
2015,60,50,97,51,,37,19,0,52.5,6,98,,96
2014,54,77,61,78,0.01,40,25,0,51.5,6,97,6.4,94
2013,52,65,92,78,2.14,26,73,164,5.6,6,96,5.54,93
2012,79,68,62,82,0.01,23,55,0,49.7,6,92,5.37,89
2011,52,78,55,52,1.98,48,22,0,48.8,6,91,5.1,87
2010,59,79,85,61,1.98,37,27,0,48,6,85,5.33,81
2009,51,68,97,58,2.1,20,56,0,47.3,6,84,5.85,81
2008,57,85,80,63,1.18,46,61,5,46.6,6,85,4.37,81
2007,75,52,61,60,1.02,63,64,0,45.9,7,81,5.1,79
2006,70,82,53,60,0.85,46,64,222,45.3,7,8,6.17,78
2005,50,81,83,62,0.73,74,58,1238,44.7,7,79,7.86,75
2004,76,57,68,99,0.62,44,31,827,44.2,8,78,7.92,77
2003,58,63,62,60,0.55,71,58,1978,43.6,8,79,6.56,77
2002,76,73,76,61,0.55,69,23,4353,43.1,9,8,4.47,76
2001,65,83,93,84,0.51,38,53,574,42.6,10,77,4.48,77
2000,58,55,82,55,0.65,19,20,210,42.1,11,75,4.67,76
2015,63,70,58,51,,23,70,0,64.5,0,95,,95
2014,59,81,64,66,9.45,73,53,0,63.8,0,96,7.74,96
2013,79,76,95,100,9.42,36,23,0,63.2,0,97,7.5,97
2012,54,70,83,81,9.5,59,47,0,62.6,0,99,7.43,98
2011,58,56,70,50,9.34,25,43,0,62,0,97,7.63,98
2010,78,84,73,90,9.19,58,68,0,61.3,0,97,7.44,99
2009,73,73,57,84,9.29,64,39,0,6.7,0,97,7.43,96
2008,74,75,83,97,10.15,28,19,0,6.1,0,93,7.3,93
2007,60,51,62,63,10.75,19,45,0,59.4,0,95,7.8,95
2006,75,74,58,81,11.07,75,75,0,58.7,0,94,6.93,95
2005,83,67,72,97,10.49,37,73,0,58.1,0,93,5.95,93
2004,62,83,56,84,10.1,56,53,0,57.4,0,92,6.2,93
2003,74,50,50,56,10.68,24,26,0,56.7,0,93,5.62,92
2002,77,69,78,61,10.85,66,44,0,56,0,93,5.26,94
2001,64,71,64,98,11.64,23,53,0,55.2,0,98,5.15,99
2000,50,69,83,76,12.15,18,34,0,54.4,0,91,5.21,99
2015,59,63,87,99,,30,22,0,63.6,0,98,,98
2014,70,59,79,60,1.57,52,52,46,62.9,0,98,4.98,98
2013,58,63,87,67,1.65,18,60,0,62.2,0,99,4.69,99
2012,59,71,64,75,1.7,39,54,0,61.5,0,99,4.37,99
2011,78,57,95,89,1.66,44,32,0,6.8,0,99,3.4,99
2010,61,63,51,100,1.93,52,20,0,6.1,0,99,3.64,99
2009,61,64,99,70,1.95,64,42,3,59.3,0,97,3.79,98
2008,55,50,74,68,2,41,59,2,58.5,0,97,3.17,97
2007,61,62,72,62,2,52,61,7,57.6,0,97,3.8,97
2006,77,56,67,57,2.1,18,57,3,56.8,0,98,3.8,98
2005,78,58,51,59,2.05,42,42,4,56.1,0,98,3.16,98
2004,72,76,50,73,2.16,26,53,11,55.6,0,98,3.37,98
2003,82,74,89,58,2.16,40,25,12,55.2,0,97,3.74,97
2002,53,69,54,88,1.99,25,51,8,55,0,98,3.89,98
2001,56,57,78,51,1.95,72,23,5,54.8,0,99,3.8,99
2000,80,50,71,68,2.15,29,49,6,54.5,0,97,3.51,97
2015,76,66,94,65,,34,73,240,18.3,113,97,,97
2014,63,54,93,77,0.01,26,62,289,17.7,121,97,2.82,97
2013,53,54,80,65,0.01,66,52,237,17,130,96,2.88,96
2012,54,61,88,79,0.01,29,19,1986,16.4,139,94,3.8,94
2011,84,82,76,62,0.01,48,53,5625,15.8,150,96,3.16,96
2010,50,74,76,79,0.01,62,64,788,15.2,161,94,3.6,94
2009,55,73,78,88,0.01,65,68,718,14.6,173,97,2.91,97
2008,64,80,91,50,0.01,67,75,2660,14,186,96,2.85,96
2007,63,54,53,73,0.01,42,39,2924,13.5,201,96,2.8,94
2006,70,56,69,98,0.01,25,31,6192,13,215,95,2.8,94
2005,78,70,83,87,0.01,18,58,25934,12.5,231,94,2.68,93
2004,62,78,95,78,0.01,41,42,9743,12,247,88,2.62,99
2003,58,85,82,61,0.01,61,37,4067,11.6,264,9,2.51,87
2002,85,55,81,64,0.01,73,54,3484,11.2,280,83,2.59,83
2001,81,52,55,51,0.01,31,29,4414,1.8,298,85,2.47,85
2000,73,69,60,95,0.01,63,49,5098,1.4,316,83,2.33,82
2015,56,62,66,99,,56,69,0,54.5,0,97,,97
2014,73,51,76,63,8.82,52,71,0,53.7,0,95,7.47,94
2013,82,73,81,75,8.74,74,43,0,53,0,91,7.57,91
2012,53,83,68,78,8.61,57,22,0,52.2,0,88,7.43,87
2011,51,79,83,55,8.51,71,61,0,51.4,0,91,6.67,91
2010,58,69,71,61,8.41,34,41,0,5.7,0,9,6.17,86
2009,51,78,92,90,8.46,49,36,0,49.9,0,93,6.21,93
2008,77,64,60,87,8.95,42,33,0,49.2,0,85,6.1,85
2007,85,78,76,60,8.47,55,19,0,48.4,0,93,5.64,93
2006,58,68,78,83,8.39,44,30,0,47.7,0,85,5.27,84
2005,82,76,50,100,8.01,27,57,0,46.9,0,91,5.38,92
2004,54,74,85,85,7.68,42,54,0,46.2,0,93,5.71,93
2003,82,77,84,99,7.65,37,22,0,45.4,0,9,5.82,89
2002,50,73,65,60,7.59,52,23,0,44.6,0,86,5.76,87
2001,57,54,80,85,7.38,34,50,0,43.8,0,93,5.47,84
2000,82,75,73,62,7.43,70,26,0,43,0,86,5.16,93
2015,58,73,87,51,,42,62,2,62.3,0,99,,99
2014,62,77,72,89,13.94,31,52,64,61.7,0,97,5.69,97
2013,77,68,100,77,14.66,53,35,16,61.1,1,98,6.7,98
2012,84,79,83,78,16.35,60,40,10,6.5,1,98,5.1,98
2011,52,72,83,58,17.31,45,57,50,59.9,1,98,4.92,98
2010,82,75,64,84,14.44,42,25,1,59.3,1,99,5.55,98
2009,75,52,91,82,14.09,65,72,0,58.7,1,98,6.9,96
2008,65,53,60,76,14.67,73,61,0,58.2,1,98,5.95,97
2007,85,77,79,63,14.22,34,51,1,57.7,1,9,6.44,95
2006,52,56,87,90,12.6,68,45,149,57.2,1,97,6.34,99
2005,83,54,73,88,11.01,42,37,1,56.7,1,98,6.89,99
2004,83,54,96,71,12.05,34,19,2,56.2,1,99,6.59,99
2003,73,50,68,50,11.17,58,42,21,55.8,1,53,6.59,5
2002,77,54,74,88,12.23,29,33,14,55.3,1,99,6.47,99
2001,52,62,70,73,10.74,45,53,45,54.9,1,99,6.62,99
2000,76,74,87,68,12.98,53,22,21,54.4,1,99,6.13,99
2015,70,66,94,75,,48,33,47,63.7,1,99,,99
2014,65,80,64,53,12.6,26,70,70,63.4,1,99,1.59,99
2013,53,60,53,60,11.77,25,40,39,63,1,99,1.57,99
2012,81,82,62,87,10.08,56,45,109,62.6,1,99,1.54,99
2011,68,61,54,83,10.11,31,66,576,62.3,1,98,1.42,98
2010,84,53,61,60,10.22,30,22,40,61.9,1,98,1.17,98
2009,81,54,83,99,10.05,40,58,33,61.6,1,98,1.39,98
2008,73,67,57,78,10.47,63,67,98,61.3,1,99,9.6,99
2007,63,65,84,69,10.25,54,34,64,6.9,1,99,9.25,98
2006,70,68,61,99,10.98,49,49,15,6.6,1,99,9.17,98
2005,77,60,65,77,12.27,62,60,26,6.2,1,97,9.24,97
2004,78,58,50,87,12.05,44,65,61,59.8,1,96,9.32,95
2003,57,64,76,84,11.28,43,32,44,59.4,1,96,9.3,95
2002,81,60,54,59,11.29,69,43,0,59,1,96,8.46,95
2001,72,82,82,86,11.01,29,50,83,58.5,1,96,8.29,95
2000,70,66,53,51,11.21,74,21,0,58.1,1,96,8.12,95
2015,84,63,60,99,,42,19,0,5.9,0,94,,94
2014,68,68,70,54,6.58,28,59,0,5.1,0,95,5.79,95
2013,77,81,79,54,6.56,70,71,0,49.3,0,95,5.79,95
2012,79,81,59,69,6.66,45,58,0,48.5,0,98,5.45,98
2011,66,72,76,97,6.64,75,37,0,47.8,0,95,5.61,95
2010,56,71,52,73,6.76,67,33,0,47,0,96,5.85,96
2009,81,70,69,55,6.85,37,41,0,46.3,0,98,5.81,97
2008,62,61,85,55,7.22,38,33,0,45.7,0,94,5.9,94
2007,72,85,77,71,7.24,57,23,0,45,0,97,4.76,96
2006,52,51,51,74,6.48,30,64,0,44.4,0,98,4.4,98
2005,65,51,88,76,6.25,64,65,0,43.8,0,96,4.45,96
2004,53,83,67,72,6.2,63,19,0,43.2,0,97,4.39,97
2003,75,80,52,52,5.67,61,24,0,42.6,0,95,4.53,96
2002,75,64,71,71,4.99,33,45,0,42,0,93,4.38,89
2001,50,81,57,62,4.9,36,25,0,41.4,0,96,4.5,96
2000,73,65,73,71,4.79,60,40,0,4.8,0,91,3.98,91
2015,84,55,100,97,,21,49,55,25.7,39,78,,82
2014,66,51,57,78,0.01,31,43,786,25.2,39,74,4.59,78
2013,59,82,66,66,0.01,48,38,637,24.6,39,73,4.59,77
2012,55,59,99,73,0.01,42,75,288,24.1,39,8,4.86,8
2011,51,58,98,97,1.4,40,40,426,23.5,39,77,5.37,75
2010,79,75,51,79,1.33,72,67,392,23,39,77,4.95,76
2009,84,72,61,85,1.16,32,72,1461,22.5,39,8,4.46,79
2008,63,77,58,63,1.28,58,59,928,22,39,77,4.2,75
2007,83,84,85,85,1.12,66,33,341,21.5,39,82,4.55,82
2006,60,58,65,63,1.19,50,52,176,21,39,76,4.75,74
2005,68,74,64,100,1.13,65,50,210,2.5,39,73,4.73,7
2004,64,75,88,99,1.15,40,70,262,2.1,39,74,4.56,72
2003,72,75,82,55,1.35,52,54,217,19.7,40,75,4.63,73
2002,50,67,66,55,1.23,37,66,1588,19.2,40,76,4.27,75
2001,78,67,98,64,1.29,24,46,5859,18.8,40,77,4.69,76
2000,74,51,55,58,1.34,74,46,4244,18.4,40,78,4.34,78
2015,63,53,71,61,,41,61,11,24.5,0,98,,99
2014,78,55,94,91,0.01,63,52,0,23.6,1,98,3.57,99
2013,68,83,67,86,0.01,27,33,0,22.7,1,97,3.83,97
2012,65,83,53,62,0.01,75,45,1,21.9,1,97,3.7,97
2011,62,81,67,100,0.23,55,62,10,21.1,1,95,4.73,95
2010,76,53,75,60,0.28,31,51,21,2.3,1,92,5.17,91
2009,63,58,78,98,0.17,59,33,6,19.5,1,93,6.3,93
2008,58,74,50,68,0.21,20,63,7,18.8,1,96,6.58,96
2007,50,82,94,86,0.16,74,33,11,18,1,93,5.88,95
2006,55,76,56,88,0.29,27,50,2,17.4,1,96,5.27,95
2005,56,63,66,61,0.73,44,18,11,16.7,1,95,5.28,95
2004,68,72,91,55,0.96,49,38,3,16.1,1,9,4.41,89
2003,54,54,84,88,0.52,54,19,0,15.5,1,96,4.9,95
2002,67,57,96,62,0.29,55,20,27,14.9,1,89,7.75,86
2001,70,79,68,55,0.14,38,53,756,14.4,1,88,5.91,88
2000,70,66,92,69,0.17,23,68,418,13.9,1,98,6.91,92
2015,66,70,82,88,,47,55,0,52.6,10,99,,99
2014,84,82,70,70,3.62,54,24,0,51.9,10,99,6.33,98
2013,74,69,75,83,3.78,19,20,0,51.2,10,95,5.96,94
2012,58,54,80,53,3.89,56,56,0,5.6,11,93,5.56,93
2011,65,82,75,85,3.93,28,68,0,49.9,11,95,5.49,95
2010,53,67,57,83,3.95,63,27,0,49.3,12,9,5.44,91
2009,65,56,89,64,3.87,46,65,0,48.6,12,92,5.76,93
2008,70,74,71,79,3.77,69,44,0,48,13,87,5,88
2007,63,66,75,62,3.47,48,51,0,47.3,14,85,4.96,84
2006,84,62,51,65,3.23,37,66,0,46.7,15,82,5.19,83
2005,67,61,87,50,2.86,42,54,0,46,16,84,5.67,85
2004,63,61,56,55,2.66,28,68,0,45.4,16,84,5.22,84
2003,67,81,74,98,2.37,18,36,0,44.7,17,82,5.3,88
2002,66,63,91,94,2.26,61,49,0,44,18,76,6.53,77
2001,57,78,91,75,2.2,50,58,0,43.3,19,71,6.31,71
2000,70,57,78,52,2.32,53,62,122,42.6,20,74,5.67,75
2015,74,60,83,65,,19,54,1677,55.8,0,74,,82
2014,62,57,79,74,4.03,25,73,3000,55.3,0,86,9.57,86
2013,84,67,99,96,4.12,45,38,0,54.7,0,87,9.46,89
2012,85,75,81,96,4.61,45,69,22,54.2,0,87,9.94,92
2011,65,70,95,97,4.64,38,54,10,53.7,0,89,9.71,88
2010,62,62,69,97,4.54,68,27,45,53.1,0,9,9.58,89
2009,60,79,72,68,4.75,32,50,22,52.6,0,9,9.64,9
2008,61,76,53,91,5.13,52,70,8,52.1,0,92,8.58,91
2007,67,57,84,82,5.16,63,47,166,51.5,0,95,8.37,95
2006,55,82,91,85,4.82,67,60,17,51,0,91,8.28,87
2005,62,85,87,50,4.56,51,19,23,5.5,0,95,8.5,93
2004,75,80,90,91,4.25,62,25,28,49.9,0,87,9.4,84
2003,83,62,63,70,4.14,72,29,18,49.4,0,87,7.94,87
2002,75,83,80,85,3.84,23,69,28,48.8,0,86,7.1,8
2001,63,56,69,97,3.85,32,55,0,48.2,0,92,7.16,91
2000,72,84,56,58,3.64,51,67,43,47.6,0,87,7.9,85
2015,69,84,64,59,,36,22,0,37.9,2,96,,95
2014,58,77,82,59,0.01,58,27,1,37.3,2,96,5.41,95
2013,64,76,54,80,0.01,26,40,1,36.8,2,96,5.84,95
2012,78,84,57,97,0.01,37,56,7,36.2,3,96,6.27,95
2011,61,85,77,90,5.76,51,19,8,35.7,3,96,5.25,95
2010,78,85,72,84,5.99,18,38,853,35.2,3,96,5.64,95
2009,66,51,51,95,5.01,63,65,184,34.7,3,96,6.39,96
2008,85,65,84,99,6.56,41,45,0,34.2,3,96,5.55,96
2007,60,56,100,60,6.21,64,49,1,33.7,3,96,4.71,96
2006,68,70,84,71,6.45,70,21,6,33.2,3,96,4.93,96
2005,84,62,64,88,6.37,45,55,5,32.7,3,96,5.62,96
2004,72,55,64,65,4.9,60,57,1,32.2,4,96,5.56,96
2003,52,81,54,86,5.51,44,43,59,31.6,4,96,4.65,96
2002,84,79,89,86,6.41,27,39,7,31.1,4,97,6.47,97
2001,55,66,50,82,5.48,64,60,1,3.5,4,97,5.73,97
2000,68,70,53,70,5.37,52,69,2672,29.9,4,97,4.64,97
2015,68,54,62,90,,52,31,214,56.1,47,98,,96
2014,74,74,66,59,7.32,55,44,876,55.3,49,96,8.32,93
2013,79,58,58,58,7.24,40,57,220,54.5,52,96,8.48,97
2012,73,60,65,90,7.55,25,64,2,53.6,54,96,8.26,95
2011,54,71,89,57,7.58,61,19,43,52.8,57,98,8.9,99
2010,50,65,87,63,7.52,71,51,68,52,61,99,8.27,99
2009,59,68,72,61,7.33,35,30,0,51.1,64,99,8.65,99
2008,55,64,94,91,7.21,39,42,0,5.3,68,99,8.24,99
2007,52,73,89,99,7.19,27,57,0,49.4,73,99,8.28,99
2006,54,50,72,91,7.1,72,31,57,48.6,79,99,8.36,99
2005,77,76,72,66,6.97,47,37,6,47.8,85,99,8.27,99
2004,77,85,73,50,6.85,75,54,0,46.9,93,99,7.7,99
2003,66,79,59,50,6.95,53,45,2,46.1,100,99,6.94,99
2002,57,75,86,82,7,52,47,1,45.3,109,99,7.13,99
2001,77,54,66,93,7.13,58,58,1,44.5,118,99,7.19,98
2000,84,66,76,67,7.26,59,47,36,43.7,127,99,7.3,98
2015,72,66,92,74,,70,26,4,41.2,0,99,,99
2014,85,57,71,91,0.01,64,31,1,4.2,0,99,2.65,99
2013,57,77,78,71,0.01,35,28,0,39.2,0,99,2.61,99
2012,69,67,67,68,0.01,67,68,1,38.2,0,99,2.3,99
2011,69,54,59,92,0.97,34,19,4,37.2,0,99,2.25,97
2010,63,76,51,85,0.88,64,72,0,36.2,0,99,2.73,95
2009,75,67,59,84,0.25,38,65,2,35.2,0,99,2.85,99
2008,54,53,53,94,0.67,18,42,3,34.2,0,97,2.23,98
2007,80,50,58,50,0.85,72,62,0,33.2,0,95,2.32,99
2006,51,65,52,54,0.67,30,56,0,32.2,0,94,2.24,97
2005,68,53,82,71,0.16,61,61,9,31.2,0,93,2.62,94
2004,85,60,74,90,0.11,27,48,16,3.1,0,92,3.1,92
2003,51,56,76,73,0.12,39,60,24,29.1,0,99,3.9,92
2002,82,85,76,57,0.13,30,27,0,28,0,99,3.4,94
2001,81,77,88,62,0.47,67,34,11,27,0,99,3.6,97
2000,69,83,53,96,0.37,57,53,42,26.1,0,99,3.5,99
2015,74,69,95,99,,68,61,0,65.7,1,91,,91
2014,81,68,61,67,12.03,61,32,0,65.1,1,88,8.44,88
2013,67,75,100,53,12.06,58,69,14,64.5,1,95,7.93,95
2012,62,74,63,68,10.99,40,33,1,63.9,1,95,7.11,95
2011,57,63,51,63,10.67,25,21,157,63.3,1,95,6.88,95
2010,54,67,92,76,10.8,64,25,22004,62.7,1,94,7.24,94
2009,60,56,73,90,10.93,49,39,2249,62.1,1,94,6.78,94
2008,63,67,82,99,10.98,30,30,1,61.5,1,96,6.61,95
2007,56,83,64,68,10.89,37,59,1,6.9,1,95,6.41,95
2006,65,69,50,62,10.39,50,22,1,6.3,1,96,6.67,95
2005,80,56,55,71,10.48,35,61,3,59.7,1,97,7.8,96
2004,67,84,97,63,10.96,21,57,0,59.1,1,94,7.9,95
2003,80,67,94,61,11.19,31,67,0,58.6,1,96,7.43,96
2002,71,59,57,60,10.2,30,75,0,58.1,1,94,7.41,93
2001,81,78,100,51,10.72,31,22,8,57.5,1,94,7.23,94
